S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
1.,Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H27,08/2024,07/2026,"M/s. Martin & Brown Bio- sciences Pvt. Ltd. K.no. 918/419 Malkumajra Nalagarh Road Baddi, Dist. Solan (H.P.)-173205","pH, Sterility and Assay","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
2.,Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H21,08/2024,07/2026,"M/s. Martin & Brown Bio- sciences Pvt. Ltd. K.no. 918/419 Malkumajra Nalagarh Road Baddi, Dist. Solan (H.P.)-173205","pH, Sterility and Assay","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
3.,Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H22,08/2024,07/2026,"M/s. Martin & Brown Bio- sciences Pvt. Ltd. K.no. 918/419 Malkumajra Nalagarh Road Baddi, Dist. Solan (H.P.)-173205","pH, Sterility and Assay","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
4.,Bupivacaine Hydrochloride Injection IP (Bupicain-0.5%),BPC24007,12/2024,10/2026,"M/s. Themis Medicare Limited, Sector 6A, Plot No.16,17,&18, IIE, SIDCUL Haridwar - 249403, Uttarakhand",Particulate matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
5.,Ceftriaxone and Sulbactam for Injection IP (CEFRITZ S 1.5),24DH13V,08/2024,07/2026,"M/s. MMG Healthcare, Trilokpur Road, Kala Amb, Distt. Sirmour- 173030 (H.P.)",Bacterial endotoxins for Sterile water for Injection.,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
6.,Pantoprazole Gastro- Resistant Tablets IP 40 mg.,MT240578,08/2024,07/2026,"M/s. Mancare Laboratories Pvt. Ltd., Plot No-11, Pharmacity, Selaqui, Dehradun, Uttarkhand-248011",Dissolution in Buffer Stage,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
7.,Oxcarbazepine Tablets IP 300 mg (OXCARBAJAJ 300),OXB02I24,09/2024,08/2026,"M/s. Bajaj Healthcare Ltd. R.S. No. 1818, Manjusar-Savli Road, At & Post Manjusar, Tal Savli, Dist. Vadodara-391775, Gujarat, India",Dissolution,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
8.,Calcium & Vitamin D3 Tablets IP,QT23136,11/2024,10/2026,"M/s. Quest Laboratories Limited, Plot No.-45, Sector-III, Pithampur, Dist-Dhar-454775 (M. P.)",Dissolution (for Calcium) and Assay of,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,,Elemental Calcium,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
9.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1289,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
