Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
1,Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H27,Aug-24,Jul-26,"M/s. Martin & Brown Bio- sciences Pvt. Ltd. K.no. 918/419 Malkumajra Nalagarh Road Baddi, Dist. Solan (H.P.)-173205","pH, Sterility and Assay","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
2,Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H21,Aug-24,Jul-26,"M/s. Martin & Brown Bio- sciences Pvt. Ltd. K.no. 918/419 Malkumajra Nalagarh Road Baddi, Dist. Solan (H.P.)-173205","pH, Sterility and Assay","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
3,Carboxymethyl Cellulose Sodium Eye Drops IP,MO24H22,Aug-24,Jul-26,"M/s. Martin & Brown Bio- sciences Pvt. Ltd. K.no. 918/419 Malkumajra Nalagarh Road Baddi, Dist. Solan (H.P.)-173205","pH, Sterility and Assay","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
4,Bupivacaine Hydrochloride Injection IP (Bupicain-0.5%),BPC24007,Dec-24,Oct-26,"M/s. Themis Medicare Limited, Sector 6A, Plot No.16,17,&18, IIE, SIDCUL Haridwar - 249403, Uttarakhand",Particulate matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
5,Ceftriaxone and Sulbactam for Injection IP (CEFRITZ S 1.5),24DH13V,Aug-24,Jul-26,"M/s. MMG Healthcare, Trilokpur Road, Kala Amb, Distt. Sirmour- 173030 (H.P.)",Bacterial endotoxins for Sterile water for Injection.,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
6,Pantoprazole Gastro- Resistant Tablets IP 40 mg.,MT240578,Aug-24,Jul-26,"M/s. Mancare Laboratories Pvt. Ltd., Plot No-11, Pharmacity, Selaqui, Dehradun, Uttarkhand-248011",Dissolution in Buffer Stage,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
7,Oxcarbazepine Tablets IP 300 mg (OXCARBAJAJ 300),OXB02I24,Sep-24,Aug-26,"M/s. Bajaj Healthcare Ltd. R.S. No. 1818, Manjusar-Savli Road, At & Post Manjusar, Tal Savli, Dist. Vadodara-391775, Gujarat, India",Dissolution,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
8,Calcium & Vitamin D3 Tablets IP,QT23136,Nov-24,Oct-26,"M/s. Quest Laboratories Limited, Plot No.-45, Sector-III, Pithampur, Dist-Dhar-454775 (M. P.)",Dissolution (for Calcium) and Assay of,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
9,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1289,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
10,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1292,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
11,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1286,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
12,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1298,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
13,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1301,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
14,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1302,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
15,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1303,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
16,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1304,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
17,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1305,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
18,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1306,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
19,Amikacin Sulphate Injection I.P. 500 mg,24AM18,Oct-24,Sep-26,"M/s. SAI Parenterals Limited, D1 &D4, Survey No.280, Phase-V, IDA, Jeedimetla,",Particulate matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
20,Sucralfate & Oxetacaine Suspension (Rabeflux Suspension),RBLS-02501,Jan-25,Dec-26,"M/s. Tidal Laboratories Pvt. Ltd., Patch-5, Phase-II, Gowalthai, Distt. Bilaspur- 174201 (H.P.), INDIA","Identification, Assay of Sucralfate and Assay of Oxetacaine","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
21,Iron Sucrose Injection USP 100mg/5ml,24RS15,Dec-24,Nov-26,"M/s. SAI Parenterals Limited, D1 &D4, Survey No.280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",pH and Alkalinity,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
22,Iron Sucrose Injection USP 100mg/5ml,24RS03,Jan-24,Dec-25,"M/s. SAI Parenterals Limited, D1 &D4, Survey No.280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",pH,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
23,Iron Sucrose Injection USP 100 mg/5ml,24RS06,Feb-24,Jan-26,"M/s. SAI Parenterals Limited, D1 &D4, Survey No. 280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",pH and Alkalinity,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
24,Compound Sodium Lactate Injection IP (RINGER-LACTATE SOLUTION FOR INJECTION ) (RL),1I245476,Sep-24,Aug-27,"M/s. Aculife Healthcare Pvt. Ltd., Sachana, Gujarat- 382150, India",Sterility,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
25,"Rifampicin, Isoniazid and Ethmbutol Hydrochloride Tablets IP",TR-820008,Jul-24,Jun-26,"M/s. Centurion Remedies Pvt. Ltd., G/5,6, B.I.D.C. Gorwa, Vadodara -390016",Assay of Rifampicin,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
26,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1294,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
27,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1299,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
28,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1300,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
29,Ondansetron Oral Solution I.P. 2mg/5ml,ONES-1004,Sep-24,Aug-26,"M/s. Wings Biotech, 43 and 44, HPSIDC, Industrial Area, Baddi-173 205 (H.P.)",Related Susbtances,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
30,Gentamicin Injection IP (Gentatore Injection 80 mg/2ml),IGMG418,Jul-24,Jun-26,"M/s. Regain Laboratories, 134/5, HTM Road, Rajpur Lane, Hisar-125001, Haryana",Particulate matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
31,Teneligliptin & Metformin Hydrochloride (Sustained Release) Tablets IP (Teglisure-M 500),AOT244-00B,Mar-24,Feb-26,"M/s. Astonea Labs Pvt. Ltd., Vill- Haripur, Teh. Raipur Rani, Dist. Panchkula, Haryana, INDIA-134204",Assay/content of Teneligliptin,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
32,Cefpodoxime Proxetil Tablets I.P. 200 mg (BREPOD-200),ST-25456,Oct-24,Sep-26,"M/s. Sunvij Drugs Private Limited, 511, GIDC, Waghodia, Baroda-391760, Gujarat",Dissolution,"CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
33,Rabeprazole Sodium Injection IP,MD23H19,Aug-23,Jul-25,"M/s. Martin & Brown Bio Sciences, K. No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist. Solan (H.P.)- 173205","pH, Particulate matter, Clarity of Solution, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
34,Nimesulide & Paracetamol Tablets (Somu Gold),TTX0093,Jan-24,Dec-26,"M/s.Pro-pharma Care Pvt. Ltd., Khasara No. : 68, 69, 71, Village : Sikandarpur, Bhaiswal, Near Bhagwanpur, Roorkee, Distt. Haridwar, Uttarakhand-247661",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
35,Fluconazole Tablets I.P. 150 mg (Megmazole- 150 Tablets),TSF-C0116,Jan-24,Dec-25,"M/s.Spen Formulations Pvt. Ltd., Plot No-123, Industrial Area, Mehatpur, Distt. UNA174315 (H.P.)",Assay/Content of Fluconazole,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
36,Ampicillin Sodium Injection I.P. (AMPIVEE- 500 Injection),TGDI082319 04,Aug-23,Jul-25,"M/s.T & G Medicare, Village Kunjahal, PO Baddi, Distt:. Solan (H.P.)",Sterillity,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
37,Sulbactam Sodium Sterile I.P./USP.,23051901,May-23,Apr-26,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.","""Identification and Assay/Content of Sulbactam Sodium","RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
38,Sulbactam Sodium Sterile I.P./USP.,23051806,May-23,Apr-26,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
39,Sulbactam Sodium Sterile I.P./USP.,23051903,May-23,Apr-26,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
40,Ciprofloxacin Tablets IP 250 mg (Ciprodac 250),CT24001,Feb-24,Jan-27,"M/s.CADILA PHARMACEUTICALS LIMITED, 1389, Dholka- 382225, Dist. Ahmedabad","Dissolution"" of Ciprofloxacin","RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
41,Ciprofloxacin Tablets IP 250 mg,CITB-02,Jul-24,Jun-26,"M/s. NESTOR PHARMACEUTICALS LIMITED, 11, Western Extension Area, Faridabad - 121 001, INDIA",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
42,Sulbactam Sodium Sterile I.P./USP,23051904,May-23,Apr-26,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
43,Sulbactam Sodium Sterile I.P./USP.,23051902,May-23,Apr-26,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
44,Albendazole Tablets IP 400 mg,LMT241100,Sep-24,Aug-26,"M/s.Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
45,"Telmisartan I.P. 40 mg, Amlodipine Besylate I.P. 5 mg Tablets",ST 211,Apr-24,Mar-26,"M/s.Soham Healhcare INC, Soham Healthcare Inc A-49, Sector-25, Gandhinagar, Gujarat","""Dissolution"" (Telmisartan and Amlodipine) and ""Assay/ content of Telmisartan and Amlodipine""",CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
46,Pioglitazone Hydrochloride Tablets (GLITO 15),D40292,May-24,Apr-27,"M/s.Medley Pharmaceuticals Ltd., Plot No. 18 & 19, Survey No.378/7 & 8, 379/2 & 3, Zari Causeway Road, Kachigam Daman- 396210 (U.T), INDIA","""Dissolution""",CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
47,Glimepiride Tablets I.P. 1 mg,12801124,Aug-24,Jul-26,"M/s.Karnataka Antibiotics & Pharmaceuticals Limited (A Govt of India Enterprise), Plot No.14, II Phase, Peenya, Bengaluru - 560 058.","""Related substances""",CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
48,Telmisartan & Hydrochlorothiazide Tablets IP (Telmijack-H),T-20560,Mar-24,Feb-26,"M/s.Jackson Laboratories Pvt. Ltd., Plot No. 56 & 61, Industrial Area, Phase III, Sansarpur Terrace, Distt. Kangra (H.P.)- 176501.","""Related substances and Assay of Hydrochlorothiazi de""",CDTL-Mumbai,,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
49,Sulphamethoxazole and Trimethoprim Tablets IP,MT386,Oct-23,Sep-26,"M/s.Mayasha Lifesciences, H.B. 86, Village-Bhatian Nalagarh, Distt.-Solan (H.P.) 174101",Dissolution of Sulphamethoxazol e,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
50,Levamisole & Oxyclozanide Bolus Vet. (Wormizole Bolus),EMVB-24162,Oct-24,Sep-26,"M/s.Events Corporation, UNIT- II, Kala Amb, Tehsil Nahan, District Sirmour (H.P.)-173030",Disintegration test,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
51,Sodium Chloride Injection IP 0.9 %w/v,LV4979,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
52,Sodium Chloride Injection IP 0.9 %w/v,LV4987,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
53,Sodium Chloride Injection IP 0.9 %w/v,LV4983,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
54,Sodium Chloride Injection IP 0.9 %w/v,LV4984,Nov-24,Oct-26,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,Medium
